"kommune","parti","stemmer"
"0125 Eidsberg","Det nye Folkepartiet (1973-1977)",22
"0125 Eidsberg","Ensliges parti",4
"0125 Eidsberg","Norges demokratiske parti",2
"0127 Skiptvet","Arbeiderpartiet",611
"0127 Skiptvet","Fremskrittspartiet",32
"0127 Skiptvet","Høyre",186
"0127 Skiptvet","Kristelig Folkeparti",268
"0127 Skiptvet","Senterpartiet",366
"0127 Skiptvet","Sosialistisk Venstreparti",32
"0127 Skiptvet","Venstre",28
"0127 Skiptvet","Norges Kommunistiske Parti",8
"0127 Skiptvet","Rød valgallianse",6
"0127 Skiptvet","Frie Folkevalgte",3
"0127 Skiptvet","Det nye Folkepartiet (1973-1977)",2
"0128 Rakkestad","Arbeiderpartiet",1525
"0128 Rakkestad","Fremskrittspartiet",37
"0128 Rakkestad","Høyre",521
"0128 Rakkestad","Kristelig Folkeparti",971
"0128 Rakkestad","Senterpartiet",978
"0128 Rakkestad","Sosialistisk Venstreparti",33
"0128 Rakkestad","Venstre",65
"0128 Rakkestad","Norges Kommunistiske Parti",5
"0128 Rakkestad","Frie Folkevalgte",3
"0128 Rakkestad","Det nye Folkepartiet (1973-1977)",10
"0128 Rakkestad","Ensliges parti",7
"0130 Tune (-1991)","Arbeiderpartiet",5953
"0130 Tune (-1991)","Fremskrittspartiet",123
"0130 Tune (-1991)","Høyre",1816
"0130 Tune (-1991)","Kristelig Folkeparti",1251
"0130 Tune (-1991)","Senterpartiet",415
"0130 Tune (-1991)","Sosialistisk Venstreparti",382
"0130 Tune (-1991)","Venstre",231
"0130 Tune (-1991)","Norges Kommunistiske Parti",34
"0130 Tune (-1991)","Rød valgallianse",28
"0130 Tune (-1991)","Frie Folkevalgte",9
"0130 Tune (-1991)","Det nye Folkepartiet (1973-1977)",83
"0130 Tune (-1991)","Ensliges parti",9
"0130 Tune (-1991)","Norges demokratiske parti",6
"0131 Rolvsøy (1911-1993)","Arbeiderpartiet",1901
"0131 Rolvsøy (1911-1993)","Fremskrittspartiet",38
"0131 Rolvsøy (1911-1993)","Høyre",512
"0131 Rolvsøy (1911-1993)","Kristelig Folkeparti",392
"0131 Rolvsøy (1911-1993)","Senterpartiet",195
"0131 Rolvsøy (1911-1993)","Sosialistisk Venstreparti",115
"0131 Rolvsøy (1911-1993)","Venstre",49
"0131 Rolvsøy (1911-1993)","Norges Kommunistiske Parti",7
"0131 Rolvsøy (1911-1993)","Rød valgallianse",4
"0131 Rolvsøy (1911-1993)","Frie Folkevalgte",1
"0131 Rolvsøy (1911-1993)","Det nye Folkepartiet (1973-1977)",17
"0131 Rolvsøy (1911-1993)","Ensliges parti",2
"0131 Rolvsøy (1911-1993)","Norges demokratiske parti",4
"0133 Kråkerøy (1908-1993)","Arbeiderpartiet",2425
"0133 Kråkerøy (1908-1993)","Fremskrittspartiet",33
"0133 Kråkerøy (1908-1993)","Høyre",1198
"0133 Kråkerøy (1908-1993)","Kristelig Folkeparti",457
"0133 Kråkerøy (1908-1993)","Senterpartiet",76
"0133 Kråkerøy (1908-1993)","Sosialistisk Venstreparti",159
"0133 Kråkerøy (1908-1993)","Venstre",126
"0133 Kråkerøy (1908-1993)","Norges Kommunistiske Parti",45
"0133 Kråkerøy (1908-1993)","Rød valgallianse",9
"0133 Kråkerøy (1908-1993)","Frie Folkevalgte",1
"0133 Kråkerøy (1908-1993)","Det nye Folkepartiet (1973-1977)",20
"0133 Kråkerøy (1908-1993)","Ensliges parti",1
"0133 Kråkerøy (1908-1993)","Norges demokratiske parti",4
"0134 Onsøy (-1993)","Arbeiderpartiet",3219
"0134 Onsøy (-1993)","Fremskrittspartiet",107
"0134 Onsøy (-1993)","Høyre",1769
"0134 Onsøy (-1993)","Kristelig Folkeparti",1079
"0134 Onsøy (-1993)","Senterpartiet",417
"0134 Onsøy (-1993)","Sosialistisk Venstreparti",174
"0134 Onsøy (-1993)","Venstre",144
"0134 Onsøy (-1993)","Norges Kommunistiske Parti",22
"0134 Onsøy (-1993)","Rød valgallianse",8
"0134 Onsøy (-1993)","Frie Folkevalgte",6
"0134 Onsøy (-1993)","Det nye Folkepartiet (1973-1977)",28
"0134 Onsøy (-1993)","Ensliges parti",3
"0134 Onsøy (-1993)","Norges demokratiske parti",4
"0135 Råde","Arbeiderpartiet",1221
"0135 Råde","Fremskrittspartiet",31
"0135 Råde","Høyre",582
"0135 Råde","Kristelig Folkeparti",527
"0135 Råde","Senterpartiet",530
"0135 Råde","Sosialistisk Venstreparti",40
"0135 Råde","Venstre",33
"0135 Råde","Rød valgallianse",3
"0135 Råde","Frie Folkevalgte",7
"0135 Råde","Det nye Folkepartiet (1973-1977)",5
"0135 Råde","Ensliges parti",1
"0135 Råde","Norges demokratiske parti",1
"0136 Rygge","Arbeiderpartiet",2442
"0136 Rygge","Fremskrittspartiet",99
"0136 Rygge","Høyre",1866
"0136 Rygge","Kristelig Folkeparti",465
"0136 Rygge","Senterpartiet",599
"0136 Rygge","Sosialistisk Venstreparti",175
"0136 Rygge","Venstre",96
"0136 Rygge","Norges Kommunistiske Parti",8
"0136 Rygge","Rød valgallianse",32
"0136 Rygge","Frie Folkevalgte",2
"0136 Rygge","Det nye Folkepartiet (1973-1977)",101
"0136 Rygge","Ensliges parti",1
"0136 Rygge","Norges demokratiske parti",4
"0137 Våler (Østf.)","Arbeiderpartiet",508
"0137 Våler (Østf.)","Fremskrittspartiet",25
"0137 Våler (Østf.)","Høyre",384
"0137 Våler (Østf.)","Kristelig Folkeparti",186
"0137 Våler (Østf.)","Senterpartiet",344
"0137 Våler (Østf.)","Sosialistisk Venstreparti",66
"0137 Våler (Østf.)","Venstre",20
"0137 Våler (Østf.)","Norges Kommunistiske Parti",1
"0137 Våler (Østf.)","Rød valgallianse",2
"0137 Våler (Østf.)","Frie Folkevalgte",5
"0137 Våler (Østf.)","Det nye Folkepartiet (1973-1977)",7
"0137 Våler (Østf.)","Norges demokratiske parti",1
"0138 Hobøl","Arbeiderpartiet",762
"0138 Hobøl","Fremskrittspartiet",50
"0138 Hobøl","Høyre",391
"0138 Hobøl","Kristelig Folkeparti",225
"0138 Hobøl","Senterpartiet",383
"0138 Hobøl","Sosialistisk Venstreparti",50
"0138 Hobøl","Venstre",22
"0138 Hobøl","Rød valgallianse",3
"0138 Hobøl","Frie Folkevalgte",2
"0138 Hobøl","Det nye Folkepartiet (1973-1977)",15
"0138 Hobøl","Ensliges parti",4
"0211 Vestby","Arbeiderpartiet",1784
"0211 Vestby","Fremskrittspartiet",94
"0211 Vestby","Høyre",1507
"0211 Vestby","Kristelig Folkeparti",273
"0211 Vestby","Senterpartiet",535
"0211 Vestby","Sosialistisk Venstreparti",169
"0211 Vestby","Venstre",67
"0211 Vestby","Norges Kommunistiske Parti",4
"0211 Vestby","Rød valgallianse",18
"0211 Vestby","Frie Folkevalgte",2
"0211 Vestby","Det nye Folkepartiet (1973-1977)",34
"0211 Vestby","Ensliges parti",5
"0211 Vestby","Norges demokratiske parti",2
"0213 Ski","Arbeiderpartiet",4044
"0213 Ski","Fremskrittspartiet",255
"0213 Ski","Høyre",3692
"0213 Ski","Kristelig Folkeparti",802
"0213 Ski","Senterpartiet",623
"0213 Ski","Sosialistisk Venstreparti",528
"0213 Ski","Venstre",340
"0213 Ski","Norges Kommunistiske Parti",22
"0213 Ski","Rød valgallianse",61
"0213 Ski","Frie Folkevalgte",2
"0213 Ski","Det nye Folkepartiet (1973-1977)",104
"0213 Ski","Ensliges parti",9
"0214 Ås","Arbeiderpartiet",2020
"0214 Ås","Fremskrittspartiet",89
"0214 Ås","Høyre",1651
"0214 Ås","Kristelig Folkeparti",453
"0214 Ås","Senterpartiet",924
"0214 Ås","Sosialistisk Venstreparti",342
"0214 Ås","Venstre",352
"0214 Ås","Norges Kommunistiske Parti",13
"0214 Ås","Rød valgallianse",53
"0214 Ås","Frie Folkevalgte",2
"0214 Ås","Det nye Folkepartiet (1973-1977)",74
"0214 Ås","Ensliges parti",5
"0214 Ås","Norges demokratiske parti",3
"0215 Frogn","Arbeiderpartiet",1696
"0215 Frogn","Fremskrittspartiet",143
"0215 Frogn","Høyre",1941
"0215 Frogn","Kristelig Folkeparti",277
"0215 Frogn","Senterpartiet",405
"0215 Frogn","Sosialistisk Venstreparti",202
"0215 Frogn","Venstre",149
"0215 Frogn","Norges Kommunistiske Parti",2
"0215 Frogn","Rød valgallianse",22
"0215 Frogn","Frie Folkevalgte",4
"0215 Frogn","Det nye Folkepartiet (1973-1977)",49
"0215 Frogn","Ensliges parti",7
"0215 Frogn","Norges demokratiske parti",3
"0216 Nesodden","Arbeiderpartiet",1777
"0216 Nesodden","Fremskrittspartiet",110
"0216 Nesodden","Høyre",1996
"0216 Nesodden","Kristelig Folkeparti",416
"0216 Nesodden","Senterpartiet",156
"0216 Nesodden","Sosialistisk Venstreparti",392
"0216 Nesodden","Venstre",238
"0216 Nesodden","Norges Kommunistiske Parti",15
"0216 Nesodden","Rød valgallianse",62
"0216 Nesodden","Det nye Folkepartiet (1973-1977)",46
"0216 Nesodden","Norges demokratiske parti",3
"0217 Oppegård","Arbeiderpartiet",3036
"0217 Oppegård","Fremskrittspartiet",192
"0217 Oppegård","Høyre",4049
"0217 Oppegård","Kristelig Folkeparti",609
"0217 Oppegård","Senterpartiet",239
"0217 Oppegård","Sosialistisk Venstreparti",474
"0217 Oppegård","Venstre",271
"0217 Oppegård","Norges Kommunistiske Parti",18
"0217 Oppegård","Rød valgallianse",54
"0217 Oppegård","Frie Folkevalgte",4
"0217 Oppegård","Det nye Folkepartiet (1973-1977)",157
"0217 Oppegård","Ensliges parti",6
"0219 Bærum","Arbeiderpartiet",12307
"0219 Bærum","Fremskrittspartiet",1053
"0219 Bærum","Høyre",26214
"0219 Bærum","Kristelig Folkeparti",2649
"0219 Bærum","Senterpartiet",1211
"0219 Bærum","Sosialistisk Venstreparti",2318
"0219 Bærum","Venstre",1838
"0219 Bærum","Norges Kommunistiske Parti",125
"0219 Bærum","Rød valgallianse",468
"0219 Bærum","Frie Folkevalgte",13
"0219 Bærum","Det nye Folkepartiet (1973-1977)",583
"0219 Bærum","Ensliges parti",58
"0219 Bærum","Norges demokratiske parti",7
"0220 Asker","Arbeiderpartiet",5537
"0220 Asker","Fremskrittspartiet",560
"0220 Asker","Høyre",9359
"0220 Asker","Kristelig Folkeparti",1342
"0220 Asker","Senterpartiet",803
"0220 Asker","Sosialistisk Venstreparti",1142
"0220 Asker","Venstre",814
"0220 Asker","Norges Kommunistiske Parti",45
"0220 Asker","Rød valgallianse",213
"0220 Asker","Frie Folkevalgte",7
"0220 Asker","Det nye Folkepartiet (1973-1977)",194
"0220 Asker","Ensliges parti",18
"0220 Asker","Norges demokratiske parti",10
"0221 Aurskog-Høland","Arbeiderpartiet",3916
"0221 Aurskog-Høland","Fremskrittspartiet",69
"0221 Aurskog-Høland","Høyre",889
"0221 Aurskog-Høland","Kristelig Folkeparti",796
"0221 Aurskog-Høland","Senterpartiet",1041
"0221 Aurskog-Høland","Sosialistisk Venstreparti",189
"0221 Aurskog-Høland","Venstre",102
"0221 Aurskog-Høland","Norges Kommunistiske Parti",10
"0221 Aurskog-Høland","Rød valgallianse",10
"0221 Aurskog-Høland","Det nye Folkepartiet (1973-1977)",47
"0221 Aurskog-Høland","Ensliges parti",3
"0221 Aurskog-Høland","Norges demokratiske parti",3
"0226 Sørum","Arbeiderpartiet",2660
"0226 Sørum","Fremskrittspartiet",83
"0226 Sørum","Høyre",950
"0226 Sørum","Kristelig Folkeparti",421
"0226 Sørum","Senterpartiet",886
"0226 Sørum","Sosialistisk Venstreparti",206
"0226 Sørum","Venstre",99
"0226 Sørum","Norges Kommunistiske Parti",19
"0226 Sørum","Rød valgallianse",12
"0226 Sørum","Det nye Folkepartiet (1973-1977)",17
"0226 Sørum","Ensliges parti",2
"0227 Fet","Arbeiderpartiet",2208
"0227 Fet","Fremskrittspartiet",73
"0227 Fet","Høyre",812
"0227 Fet","Kristelig Folkeparti",286
"0227 Fet","Senterpartiet",375
"0227 Fet","Sosialistisk Venstreparti",123
"0227 Fet","Venstre",104
"0227 Fet","Norges Kommunistiske Parti",9
"0227 Fet","Rød valgallianse",15
"0227 Fet","Frie Folkevalgte",1
"0227 Fet","Det nye Folkepartiet (1973-1977)",27
"0227 Fet","Ensliges parti",2
"0227 Fet","Norges demokratiske parti",1
"0228 Rælingen","Arbeiderpartiet",3251
"0228 Rælingen","Fremskrittspartiet",124
"0228 Rælingen","Høyre",1625
"0228 Rælingen","Kristelig Folkeparti",367
"0228 Rælingen","Senterpartiet",217
"0228 Rælingen","Sosialistisk Venstreparti",292
"0228 Rælingen","Venstre",125
"0228 Rælingen","Norges Kommunistiske Parti",25
"0228 Rælingen","Rød valgallianse",24
"0228 Rælingen","Frie Folkevalgte",1
"0228 Rælingen","Det nye Folkepartiet (1973-1977)",55
"0228 Rælingen","Ensliges parti",3
"0228 Rælingen","Norges demokratiske parti",11
"0229 Enebakk","Arbeiderpartiet",1480
"0229 Enebakk","Fremskrittspartiet",106
"0229 Enebakk","Høyre",813
"0229 Enebakk","Kristelig Folkeparti",290
"0229 Enebakk","Senterpartiet",312
"0229 Enebakk","Sosialistisk Venstreparti",137
"0229 Enebakk","Venstre",84
"0229 Enebakk","Norges Kommunistiske Parti",3
"0229 Enebakk","Rød valgallianse",8
"0229 Enebakk","Frie Folkevalgte",4
"0229 Enebakk","Det nye Folkepartiet (1973-1977)",42
"0229 Enebakk","Ensliges parti",4
"0229 Enebakk","Norges demokratiske parti",2
"0230 Lørenskog","Arbeiderpartiet",5551
"0230 Lørenskog","Fremskrittspartiet",263
"0230 Lørenskog","Høyre",3202
"0230 Lørenskog","Kristelig Folkeparti",675
"0230 Lørenskog","Senterpartiet",340
"0230 Lørenskog","Sosialistisk Venstreparti",629
"0230 Lørenskog","Venstre",332
"0230 Lørenskog","Norges Kommunistiske Parti",69
"0230 Lørenskog","Rød valgallianse",68
"0230 Lørenskog","Frie Folkevalgte",6
"0230 Lørenskog","Det nye Folkepartiet (1973-1977)",106
"0230 Lørenskog","Ensliges parti",17
"0230 Lørenskog","Norges demokratiske parti",18
"0231 Skedsmo","Arbeiderpartiet",10652
"0231 Skedsmo","Fremskrittspartiet",341
"0231 Skedsmo","Høyre",5227
"0231 Skedsmo","Kristelig Folkeparti",1177
"0231 Skedsmo","Senterpartiet",608
"0231 Skedsmo","Sosialistisk Venstreparti",970
"0231 Skedsmo","Venstre",504
"0231 Skedsmo","Norges Kommunistiske Parti",149
"0231 Skedsmo","Rød valgallianse",144
"0231 Skedsmo","Frie Folkevalgte",4
"0231 Skedsmo","Det nye Folkepartiet (1973-1977)",209
"0231 Skedsmo","Ensliges parti",11
"0231 Skedsmo","Norges demokratiske parti",10
"0233 Nittedal","Arbeiderpartiet",3527
"0233 Nittedal","Fremskrittspartiet",184
"0233 Nittedal","Høyre",2218
"0233 Nittedal","Kristelig Folkeparti",415
"0233 Nittedal","Senterpartiet",359
"0233 Nittedal","Sosialistisk Venstreparti",351
"0233 Nittedal","Venstre",314
"0233 Nittedal","Norges Kommunistiske Parti",15
"0233 Nittedal","Rød valgallianse",44
"0233 Nittedal","Frie Folkevalgte",2
"0233 Nittedal","Det nye Folkepartiet (1973-1977)",106
"0233 Nittedal","Ensliges parti",5
"0233 Nittedal","Norges demokratiske parti",7
"0234 Gjerdrum","Arbeiderpartiet",689
"0234 Gjerdrum","Fremskrittspartiet",50
"0234 Gjerdrum","Høyre",353
"0234 Gjerdrum","Kristelig Folkeparti",167
"0234 Gjerdrum","Senterpartiet",328
"0234 Gjerdrum","Sosialistisk Venstreparti",48
"0234 Gjerdrum","Venstre",26
"0234 Gjerdrum","Norges Kommunistiske Parti",2
"0234 Gjerdrum","Rød valgallianse",5
"0234 Gjerdrum","Frie Folkevalgte",1
"0234 Gjerdrum","Det nye Folkepartiet (1973-1977)",3
"0234 Gjerdrum","Ensliges parti",1
"0235 Ullensaker","Arbeiderpartiet",4237
"0235 Ullensaker","Fremskrittspartiet",285
"0235 Ullensaker","Høyre",2406
"0235 Ullensaker","Kristelig Folkeparti",587
"0235 Ullensaker","Senterpartiet",972
"0235 Ullensaker","Sosialistisk Venstreparti",276
"0235 Ullensaker","Venstre",232
"0235 Ullensaker","Norges Kommunistiske Parti",12
"0235 Ullensaker","Rød valgallianse",40
"0235 Ullensaker","Frie Folkevalgte",4
"0235 Ullensaker","Det nye Folkepartiet (1973-1977)",67
"0235 Ullensaker","Ensliges parti",7
"0235 Ullensaker","Norges demokratiske parti",6
"0236 Nes (Ak.)","Arbeiderpartiet",4927
"0236 Nes (Ak.)","Fremskrittspartiet",88
"0236 Nes (Ak.)","Høyre",877
"0236 Nes (Ak.)","Kristelig Folkeparti",521
"0236 Nes (Ak.)","Senterpartiet",1243
"0236 Nes (Ak.)","Sosialistisk Venstreparti",282
"0236 Nes (Ak.)","Venstre",125
"0236 Nes (Ak.)","Norges Kommunistiske Parti",14
"0236 Nes (Ak.)","Rød valgallianse",14
"0236 Nes (Ak.)","Frie Folkevalgte",3
"0236 Nes (Ak.)","Det nye Folkepartiet (1973-1977)",37
"0236 Nes (Ak.)","Ensliges parti",3
"0236 Nes (Ak.)","Norges demokratiske parti",9
"0237 Eidsvoll","Arbeiderpartiet",5158
"0237 Eidsvoll","Fremskrittspartiet",185
"0237 Eidsvoll","Høyre",1240
"0237 Eidsvoll","Kristelig Folkeparti",612
"0237 Eidsvoll","Senterpartiet",886
"0237 Eidsvoll","Sosialistisk Venstreparti",403
"0237 Eidsvoll","Venstre",203
"0237 Eidsvoll","Norges Kommunistiske Parti",27
"0237 Eidsvoll","Rød valgallianse",18
"0237 Eidsvoll","Frie Folkevalgte",6
"0237 Eidsvoll","Det nye Folkepartiet (1973-1977)",34
"0237 Eidsvoll","Ensliges parti",3
"0237 Eidsvoll","Norges demokratiske parti",3
"0238 Nannestad","Arbeiderpartiet",2144
"0238 Nannestad","Fremskrittspartiet",91
"0238 Nannestad","Høyre",583
"0238 Nannestad","Kristelig Folkeparti",358
"0238 Nannestad","Senterpartiet",586
"0238 Nannestad","Sosialistisk Venstreparti",115
"0238 Nannestad","Venstre",78
"0238 Nannestad","Norges Kommunistiske Parti",18
"0238 Nannestad","Rød valgallianse",8
"0238 Nannestad","Frie Folkevalgte",2
"0238 Nannestad","Det nye Folkepartiet (1973-1977)",57
"0238 Nannestad","Ensliges parti",3
"0238 Nannestad","Norges demokratiske parti",1
"0239 Hurdal","Arbeiderpartiet",702
"0239 Hurdal","Fremskrittspartiet",20
"0239 Hurdal","Høyre",136
"0239 Hurdal","Kristelig Folkeparti",271
"0239 Hurdal","Senterpartiet",173
"0239 Hurdal","Sosialistisk Venstreparti",30
"0239 Hurdal","Venstre",61
"0239 Hurdal","Norges Kommunistiske Parti",3
"0239 Hurdal","Rød valgallianse",1
"0239 Hurdal","Frie Folkevalgte",1
"0239 Hurdal","Det nye Folkepartiet (1973-1977)",11
"0301 Oslo kommune","Arbeiderpartiet",118684
"0301 Oslo kommune","Fremskrittspartiet",5911
"0301 Oslo kommune","Høyre",115607
"0301 Oslo kommune","Sosialistisk Venstreparti",16869
"0301 Oslo kommune","Venstre",7097
"0301 Oslo kommune","Norges Kommunistiske Parti",1234
"0301 Oslo kommune","Rød valgallianse",4368
"0301 Oslo kommune","Frie Folkevalgte",171
"0301 Oslo kommune","Ensliges parti",835
"0301 Oslo kommune","Norges demokratiske parti",146
