"kommune","parti","stemmer"
"0101 Halden","Arbeiderpartiet",9915
"0101 Halden","Fremskrittspartiet",208
"0101 Halden","Høyre",2568
"0101 Halden","Kristelig Folkeparti",1869
"0101 Halden","Senterpartiet",1026
"0101 Halden","Sosialistisk Venstreparti",484
"0101 Halden","Venstre",216
"0101 Halden","Norges Kommunistiske Parti",45
"0101 Halden","Rød valgallianse",61
"0101 Halden","Frie Folkevalgte",8
"0101 Halden","Det nye Folkepartiet (1973-1977)",75
"0101 Halden","Ensliges parti",7
"0101 Halden","Norges demokratiske parti",8
"0102 Sarpsborg (-1991)","Arbeiderpartiet",4510
"0102 Sarpsborg (-1991)","Fremskrittspartiet",78
"0102 Sarpsborg (-1991)","Høyre",1970
"0102 Sarpsborg (-1991)","Kristelig Folkeparti",802
"0102 Sarpsborg (-1991)","Senterpartiet",89
"0102 Sarpsborg (-1991)","Sosialistisk Venstreparti",297
"0102 Sarpsborg (-1991)","Venstre",142
"0102 Sarpsborg (-1991)","Norges Kommunistiske Parti",50
"0102 Sarpsborg (-1991)","Rød valgallianse",19
"0102 Sarpsborg (-1991)","Det nye Folkepartiet (1973-1977)",86
"0102 Sarpsborg (-1991)","Ensliges parti",5
"0102 Sarpsborg (-1991)","Norges demokratiske parti",2
"0103 Fredrikstad (-1993)","Arbeiderpartiet",9646
"0103 Fredrikstad (-1993)","Fremskrittspartiet",249
"0103 Fredrikstad (-1993)","Høyre",4996
"0103 Fredrikstad (-1993)","Kristelig Folkeparti",1637
"0103 Fredrikstad (-1993)","Senterpartiet",363
"0103 Fredrikstad (-1993)","Sosialistisk Venstreparti",637
"0103 Fredrikstad (-1993)","Venstre",324
"0103 Fredrikstad (-1993)","Norges Kommunistiske Parti",87
"0103 Fredrikstad (-1993)","Rød valgallianse",65
"0103 Fredrikstad (-1993)","Frie Folkevalgte",8
"0103 Fredrikstad (-1993)","Det nye Folkepartiet (1973-1977)",98
"0103 Fredrikstad (-1993)","Ensliges parti",22
"0103 Fredrikstad (-1993)","Norges demokratiske parti",23
"0104 Moss","Arbeiderpartiet",7638
"0104 Moss","Fremskrittspartiet",202
"0104 Moss","Høyre",4685
"0104 Moss","Kristelig Folkeparti",947
"0104 Moss","Senterpartiet",339
"0104 Moss","Sosialistisk Venstreparti",545
"0104 Moss","Venstre",185
"0104 Moss","Norges Kommunistiske Parti",56
"0104 Moss","Rød valgallianse",130
"0104 Moss","Frie Folkevalgte",11
"0104 Moss","Det nye Folkepartiet (1973-1977)",168
"0104 Moss","Ensliges parti",12
"0104 Moss","Norges demokratiske parti",14
"0111 Hvaler","Arbeiderpartiet",610
"0111 Hvaler","Fremskrittspartiet",20
"0111 Hvaler","Høyre",480
"0111 Hvaler","Kristelig Folkeparti",211
"0111 Hvaler","Senterpartiet",122
"0111 Hvaler","Sosialistisk Venstreparti",40
"0111 Hvaler","Venstre",17
"0111 Hvaler","Norges Kommunistiske Parti",1
"0111 Hvaler","Rød valgallianse",3
"0111 Hvaler","Frie Folkevalgte",1
"0111 Hvaler","Det nye Folkepartiet (1973-1977)",10
"0111 Hvaler","Norges demokratiske parti",1
"0113 Borge (-1993)","Arbeiderpartiet",4037
"0113 Borge (-1993)","Fremskrittspartiet",60
"0113 Borge (-1993)","Høyre",918
"0113 Borge (-1993)","Kristelig Folkeparti",529
"0113 Borge (-1993)","Senterpartiet",394
"0113 Borge (-1993)","Sosialistisk Venstreparti",310
"0113 Borge (-1993)","Venstre",90
"0113 Borge (-1993)","Norges Kommunistiske Parti",56
"0113 Borge (-1993)","Rød valgallianse",8
"0113 Borge (-1993)","Frie Folkevalgte",1
"0113 Borge (-1993)","Det nye Folkepartiet (1973-1977)",13
"0113 Borge (-1993)","Ensliges parti",3
"0113 Borge (-1993)","Norges demokratiske parti",13
"0114 Varteig (-1991)","Arbeiderpartiet",454
"0114 Varteig (-1991)","Fremskrittspartiet",10
"0114 Varteig (-1991)","Høyre",70
"0114 Varteig (-1991)","Kristelig Folkeparti",187
"0114 Varteig (-1991)","Senterpartiet",174
"0114 Varteig (-1991)","Sosialistisk Venstreparti",26
"0114 Varteig (-1991)","Venstre",11
"0114 Varteig (-1991)","Rød valgallianse",1
"0114 Varteig (-1991)","Det nye Folkepartiet (1973-1977)",3
"0115 Skjeberg (-1991)","Arbeiderpartiet",4530
"0115 Skjeberg (-1991)","Fremskrittspartiet",91
"0115 Skjeberg (-1991)","Høyre",847
"0115 Skjeberg (-1991)","Kristelig Folkeparti",988
"0115 Skjeberg (-1991)","Senterpartiet",566
"0115 Skjeberg (-1991)","Sosialistisk Venstreparti",245
"0115 Skjeberg (-1991)","Venstre",109
"0115 Skjeberg (-1991)","Norges Kommunistiske Parti",28
"0115 Skjeberg (-1991)","Rød valgallianse",10
"0115 Skjeberg (-1991)","Frie Folkevalgte",2
"0115 Skjeberg (-1991)","Det nye Folkepartiet (1973-1977)",28
"0115 Skjeberg (-1991)","Ensliges parti",5
"0115 Skjeberg (-1991)","Norges demokratiske parti",2
"0118 Aremark","Arbeiderpartiet",376
"0118 Aremark","Fremskrittspartiet",8
"0118 Aremark","Høyre",80
"0118 Aremark","Kristelig Folkeparti",190
"0118 Aremark","Senterpartiet",181
"0118 Aremark","Sosialistisk Venstreparti",8
"0118 Aremark","Venstre",6
"0118 Aremark","Frie Folkevalgte",1
"0118 Aremark","Det nye Folkepartiet (1973-1977)",2
"0118 Aremark","Ensliges parti",2
"0119 Marker","Arbeiderpartiet",946
"0119 Marker","Fremskrittspartiet",10
"0119 Marker","Høyre",231
"0119 Marker","Kristelig Folkeparti",431
"0119 Marker","Senterpartiet",395
"0119 Marker","Sosialistisk Venstreparti",26
"0119 Marker","Venstre",16
"0119 Marker","Norges Kommunistiske Parti",1
"0119 Marker","Det nye Folkepartiet (1973-1977)",2
"0121 Rømskog","Arbeiderpartiet",198
"0121 Rømskog","Fremskrittspartiet",9
"0121 Rømskog","Høyre",31
"0121 Rømskog","Kristelig Folkeparti",126
"0121 Rømskog","Senterpartiet",48
"0121 Rømskog","Sosialistisk Venstreparti",6
"0121 Rømskog","Venstre",6
"0121 Rømskog","Det nye Folkepartiet (1973-1977)",4
"0122 Trøgstad","Arbeiderpartiet",870
"0122 Trøgstad","Fremskrittspartiet",52
"0122 Trøgstad","Høyre",429
"0122 Trøgstad","Kristelig Folkeparti",445
"0122 Trøgstad","Senterpartiet",674
"0122 Trøgstad","Sosialistisk Venstreparti",23
"0122 Trøgstad","Venstre",23
"0122 Trøgstad","Norges Kommunistiske Parti",1
"0122 Trøgstad","Rød valgallianse",2
"0122 Trøgstad","Frie Folkevalgte",1
"0122 Trøgstad","Det nye Folkepartiet (1973-1977)",6
"0122 Trøgstad","Ensliges parti",4
"0122 Trøgstad","Norges demokratiske parti",1
"0123 Spydeberg","Arbeiderpartiet",804
"0123 Spydeberg","Fremskrittspartiet",40
"0123 Spydeberg","Høyre",469
"0123 Spydeberg","Kristelig Folkeparti",210
"0123 Spydeberg","Senterpartiet",509
"0123 Spydeberg","Sosialistisk Venstreparti",43
"0123 Spydeberg","Venstre",26
"0123 Spydeberg","Norges Kommunistiske Parti",5
"0123 Spydeberg","Rød valgallianse",6
"0123 Spydeberg","Det nye Folkepartiet (1973-1977)",8
"0123 Spydeberg","Ensliges parti",4
"0124 Askim","Arbeiderpartiet",3174
"0124 Askim","Fremskrittspartiet",98
"0124 Askim","Høyre",1447
"0124 Askim","Kristelig Folkeparti",731
"0124 Askim","Senterpartiet",567
"0124 Askim","Sosialistisk Venstreparti",205
"0124 Askim","Venstre",172
"0124 Askim","Norges Kommunistiske Parti",14
"0124 Askim","Rød valgallianse",45
"0124 Askim","Frie Folkevalgte",1
"0124 Askim","Det nye Folkepartiet (1973-1977)",49
"0124 Askim","Ensliges parti",3
"0124 Askim","Norges demokratiske parti",4
"0125 Eidsberg","Arbeiderpartiet",2148
"0125 Eidsberg","Fremskrittspartiet",82
"0125 Eidsberg","Høyre",995
"0125 Eidsberg","Kristelig Folkeparti",960
"0125 Eidsberg","Senterpartiet",913
"0125 Eidsberg","Sosialistisk Venstreparti",101
"0125 Eidsberg","Venstre",88
"0125 Eidsberg","Norges Kommunistiske Parti",7
"0125 Eidsberg","Rød valgallianse",13
"0125 Eidsberg","Frie Folkevalgte",2
