"kommune","parti","stemmer"
"0627 Røyken","Arbeiderpartiet",2519
"0627 Røyken","Høyre",1137
"0627 Røyken","Kristelig Folkeparti",379
"0627 Røyken","Senterpartiet",501
"0627 Røyken","Venstre",91
"0627 Røyken","Rød valgallianse",37
"0627 Røyken","Det nye Folkepartiet (1973-1977)",90
"0627 Røyken","Anders Langes parti (1973)",358
"0627 Røyken","Ensliges parti",14
"0627 Røyken","Kvinnenes frie folkevalgte",8
"0627 Røyken","Norges demokratiske parti",7
"0627 Røyken","Sosialistisk Valgforbund (1973)",892
"0628 Hurum","Arbeiderpartiet",1989
"0628 Hurum","Høyre",561
"0628 Hurum","Kristelig Folkeparti",335
"0628 Hurum","Senterpartiet",228
"0628 Hurum","Venstre",20
"0628 Hurum","Rød valgallianse",8
"0628 Hurum","Det nye Folkepartiet (1973-1977)",37
"0628 Hurum","Anders Langes parti (1973)",154
"0628 Hurum","Ensliges parti",4
"0628 Hurum","Kvinnenes frie folkevalgte",8
"0628 Hurum","Norges demokratiske parti",6
"0628 Hurum","Sosialistisk Valgforbund (1973)",485
"0631 Flesberg","Arbeiderpartiet",446
"0631 Flesberg","Høyre",174
"0631 Flesberg","Kristelig Folkeparti",88
"0631 Flesberg","Senterpartiet",386
"0631 Flesberg","Venstre",40
"0631 Flesberg","Rød valgallianse",3
"0631 Flesberg","Det nye Folkepartiet (1973-1977)",9
"0631 Flesberg","Anders Langes parti (1973)",50
"0631 Flesberg","Ensliges parti",1
"0631 Flesberg","Kvinnenes frie folkevalgte",2
"0631 Flesberg","Sosialistisk Valgforbund (1973)",64
"0632 Rollag","Arbeiderpartiet",254
"0632 Rollag","Høyre",62
"0632 Rollag","Kristelig Folkeparti",121
"0632 Rollag","Senterpartiet",268
"0632 Rollag","Venstre",25
"0632 Rollag","Det nye Folkepartiet (1973-1977)",4
"0632 Rollag","Anders Langes parti (1973)",15
"0632 Rollag","Kvinnenes frie folkevalgte",1
"0632 Rollag","Sosialistisk Valgforbund (1973)",60
"0633 Nore og Uvdal","Arbeiderpartiet",584
"0633 Nore og Uvdal","Høyre",213
"0633 Nore og Uvdal","Kristelig Folkeparti",191
"0633 Nore og Uvdal","Senterpartiet",426
"0633 Nore og Uvdal","Venstre",18
"0633 Nore og Uvdal","Rød valgallianse",1
"0633 Nore og Uvdal","Det nye Folkepartiet (1973-1977)",4
"0633 Nore og Uvdal","Anders Langes parti (1973)",64
"0633 Nore og Uvdal","Ensliges parti",3
"0633 Nore og Uvdal","Kvinnenes frie folkevalgte",4
"0633 Nore og Uvdal","Norges demokratiske parti",3
"0633 Nore og Uvdal","Sosialistisk Valgforbund (1973)",119
"0702 Holmestrand","Arbeiderpartiet",2025
"0702 Holmestrand","Høyre",800
"0702 Holmestrand","Kristelig Folkeparti",412
"0702 Holmestrand","Rød valgallianse",25
"0702 Holmestrand","Det nye Folkepartiet (1973-1977)",87
"0702 Holmestrand","Anders Langes parti (1973)",272
"0702 Holmestrand","Ensliges parti",18
"0702 Holmestrand","Norges demokratiske parti",5
"0702 Holmestrand","Sosialistisk Valgforbund (1973)",415
"0702 Holmestrand","Fellesliste Venstre",85
"0702 Holmestrand","Fellesliste Senterpartiet",373
"0703 Horten (-1987)","Arbeiderpartiet",3061
"0703 Horten (-1987)","Høyre",2203
"0703 Horten (-1987)","Kristelig Folkeparti",627
"0703 Horten (-1987)","Rød valgallianse",37
"0703 Horten (-1987)","Det nye Folkepartiet (1973-1977)",89
"0703 Horten (-1987)","Anders Langes parti (1973)",461
"0703 Horten (-1987)","Ensliges parti",13
"0703 Horten (-1987)","Norges demokratiske parti",11
"0703 Horten (-1987)","Sosialistisk Valgforbund (1973)",835
"0703 Horten (-1987)","Fellesliste Venstre",207
"0703 Horten (-1987)","Fellesliste Senterpartiet",63
"0705 Tønsberg (-1987)","Arbeiderpartiet",2362
"0705 Tønsberg (-1987)","Høyre",2075
"0705 Tønsberg (-1987)","Kristelig Folkeparti",611
"0705 Tønsberg (-1987)","Rød valgallianse",21
"0705 Tønsberg (-1987)","Det nye Folkepartiet (1973-1977)",110
"0705 Tønsberg (-1987)","Anders Langes parti (1973)",344
"0705 Tønsberg (-1987)","Ensliges parti",33
"0705 Tønsberg (-1987)","Norges demokratiske parti",4
"0705 Tønsberg (-1987)","Sosialistisk Valgforbund (1973)",701
"0705 Tønsberg (-1987)","Fellesliste Venstre",112
"0705 Tønsberg (-1987)","Fellesliste Senterpartiet",80
"0706 Sandefjord (-2016)","Arbeiderpartiet",5017
"0706 Sandefjord (-2016)","Høyre",6206
"0706 Sandefjord (-2016)","Kristelig Folkeparti",1872
"0706 Sandefjord (-2016)","Rød valgallianse",31
"0706 Sandefjord (-2016)","Det nye Folkepartiet (1973-1977)",490
"0706 Sandefjord (-2016)","Anders Langes parti (1973)",1590
"0706 Sandefjord (-2016)","Ensliges parti",29
"0706 Sandefjord (-2016)","Norges demokratiske parti",35
"0706 Sandefjord (-2016)","Sosialistisk Valgforbund (1973)",1516
"0706 Sandefjord (-2016)","Fellesliste Venstre",531
"0706 Sandefjord (-2016)","Fellesliste Senterpartiet",851
"0707 Larvik (-1987)","Arbeiderpartiet",2430
"0707 Larvik (-1987)","Høyre",1177
"0707 Larvik (-1987)","Kristelig Folkeparti",601
"0707 Larvik (-1987)","Rød valgallianse",24
"0707 Larvik (-1987)","Det nye Folkepartiet (1973-1977)",269
"0707 Larvik (-1987)","Anders Langes parti (1973)",162
"0707 Larvik (-1987)","Ensliges parti",22
"0707 Larvik (-1987)","Norges demokratiske parti",7
"0707 Larvik (-1987)","Sosialistisk Valgforbund (1973)",935
"0707 Larvik (-1987)","Fellesliste Venstre",213
"0707 Larvik (-1987)","Fellesliste Senterpartiet",39
"0708 Stavern (1944-1987)","Arbeiderpartiet",495
"0708 Stavern (1944-1987)","Høyre",431
"0708 Stavern (1944-1987)","Kristelig Folkeparti",123
"0708 Stavern (1944-1987)","Rød valgallianse",3
"0708 Stavern (1944-1987)","Det nye Folkepartiet (1973-1977)",64
"0708 Stavern (1944-1987)","Anders Langes parti (1973)",56
"0708 Stavern (1944-1987)","Ensliges parti",3
"0708 Stavern (1944-1987)","Norges demokratiske parti",1
"0708 Stavern (1944-1987)","Sosialistisk Valgforbund (1973)",96
"0708 Stavern (1944-1987)","Fellesliste Venstre",80
"0708 Stavern (1944-1987)","Fellesliste Senterpartiet",9
"0711 Svelvik","Arbeiderpartiet",1211
"0711 Svelvik","Høyre",501
"0711 Svelvik","Kristelig Folkeparti",204
"0711 Svelvik","Rød valgallianse",11
"0711 Svelvik","Det nye Folkepartiet (1973-1977)",42
"0711 Svelvik","Anders Langes parti (1973)",136
"0711 Svelvik","Ensliges parti",4
"0711 Svelvik","Norges demokratiske parti",2
"0711 Svelvik","Sosialistisk Valgforbund (1973)",267
"0711 Svelvik","Fellesliste Venstre",18
"0711 Svelvik","Fellesliste Senterpartiet",214
"0713 Sande (Vestf.)","Arbeiderpartiet",1500
"0713 Sande (Vestf.)","Høyre",462
"0713 Sande (Vestf.)","Kristelig Folkeparti",196
"0713 Sande (Vestf.)","Rød valgallianse",6
"0713 Sande (Vestf.)","Det nye Folkepartiet (1973-1977)",50
"0713 Sande (Vestf.)","Anders Langes parti (1973)",158
"0713 Sande (Vestf.)","Ensliges parti",7
"0713 Sande (Vestf.)","Norges demokratiske parti",3
"0713 Sande (Vestf.)","Sosialistisk Valgforbund (1973)",251
"0713 Sande (Vestf.)","Fellesliste Venstre",31
"0713 Sande (Vestf.)","Fellesliste Senterpartiet",522
"0714 Hof","Arbeiderpartiet",652
"0714 Hof","Høyre",158
"0714 Hof","Kristelig Folkeparti",126
"0714 Hof","Rød valgallianse",10
"0714 Hof","Det nye Folkepartiet (1973-1977)",8
"0714 Hof","Anders Langes parti (1973)",71
"0714 Hof","Ensliges parti",1
"0714 Hof","Sosialistisk Valgforbund (1973)",98
"0714 Hof","Fellesliste Venstre",9
"0714 Hof","Fellesliste Senterpartiet",264
"0716 Re","Arbeiderpartiet",434
"0716 Re","Høyre",314
"0716 Re","Kristelig Folkeparti",215
"0716 Re","Det nye Folkepartiet (1973-1977)",13
"0716 Re","Anders Langes parti (1973)",75
"0716 Re","Ensliges parti",5
"0716 Re","Norges demokratiske parti",3
"0716 Re","Sosialistisk Valgforbund (1973)",81
"0716 Re","Fellesliste Venstre",14
"0716 Re","Fellesliste Senterpartiet",521
"0717 Borre (-1987)","Arbeiderpartiet",1428
"0717 Borre (-1987)","Høyre",1253
"0717 Borre (-1987)","Kristelig Folkeparti",385
"0717 Borre (-1987)","Rød valgallianse",12
"0717 Borre (-1987)","Det nye Folkepartiet (1973-1977)",67
"0717 Borre (-1987)","Anders Langes parti (1973)",287
"0717 Borre (-1987)","Ensliges parti",6
"0717 Borre (-1987)","Norges demokratiske parti",1
"0717 Borre (-1987)","Sosialistisk Valgforbund (1973)",356
"0717 Borre (-1987)","Fellesliste Venstre",49
"0717 Borre (-1987)","Fellesliste Senterpartiet",428
"0718 Ramnes (-2001)","Arbeiderpartiet",408
"0718 Ramnes (-2001)","Høyre",230
"0718 Ramnes (-2001)","Kristelig Folkeparti",163
"0718 Ramnes (-2001)","Rød valgallianse",3
"0718 Ramnes (-2001)","Det nye Folkepartiet (1973-1977)",21
"0718 Ramnes (-2001)","Anders Langes parti (1973)",77
"0718 Ramnes (-2001)","Ensliges parti",4
"0718 Ramnes (-2001)","Sosialistisk Valgforbund (1973)",110
"0718 Ramnes (-2001)","Fellesliste Venstre",14
"0718 Ramnes (-2001)","Fellesliste Senterpartiet",547
"0719 Andebu (-2016)","Arbeiderpartiet",510
"0719 Andebu (-2016)","Høyre",362
"0719 Andebu (-2016)","Kristelig Folkeparti",249
"0719 Andebu (-2016)","Rød valgallianse",5
"0719 Andebu (-2016)","Det nye Folkepartiet (1973-1977)",35
"0719 Andebu (-2016)","Anders Langes parti (1973)",151
"0719 Andebu (-2016)","Ensliges parti",5
"0719 Andebu (-2016)","Norges demokratiske parti",3
"0719 Andebu (-2016)","Sosialistisk Valgforbund (1973)",101
"0719 Andebu (-2016)","Fellesliste Venstre",132
"0719 Andebu (-2016)","Fellesliste Senterpartiet",349
"0720 Stokke (-2016)","Arbeiderpartiet",1044
"0720 Stokke (-2016)","Høyre",825
"0720 Stokke (-2016)","Kristelig Folkeparti",443
"0720 Stokke (-2016)","Rød valgallianse",4
"0720 Stokke (-2016)","Det nye Folkepartiet (1973-1977)",62
"0720 Stokke (-2016)","Anders Langes parti (1973)",255
"0720 Stokke (-2016)","Ensliges parti",6
"0720 Stokke (-2016)","Norges demokratiske parti",4
"0720 Stokke (-2016)","Sosialistisk Valgforbund (1973)",232
"0720 Stokke (-2016)","Fellesliste Venstre",152
"0720 Stokke (-2016)","Fellesliste Senterpartiet",606
"0721 Sem (-1987)","Arbeiderpartiet",3500
"0721 Sem (-1987)","Høyre",3223
"0721 Sem (-1987)","Kristelig Folkeparti",1086
"0721 Sem (-1987)","Rød valgallianse",27
"0721 Sem (-1987)","Det nye Folkepartiet (1973-1977)",273
"0721 Sem (-1987)","Anders Langes parti (1973)",993
"0721 Sem (-1987)","Ensliges parti",40
"0721 Sem (-1987)","Norges demokratiske parti",29
"0721 Sem (-1987)","Sosialistisk Valgforbund (1973)",975
"0721 Sem (-1987)","Fellesliste Venstre",272
"0721 Sem (-1987)","Fellesliste Senterpartiet",651
"0722 Nøtterøy","Arbeiderpartiet",2538
"0722 Nøtterøy","Høyre",3357
"0722 Nøtterøy","Kristelig Folkeparti",775
"0722 Nøtterøy","Rød valgallianse",33
"0722 Nøtterøy","Det nye Folkepartiet (1973-1977)",247
"0722 Nøtterøy","Anders Langes parti (1973)",711
"0722 Nøtterøy","Ensliges parti",31
"0722 Nøtterøy","Norges demokratiske parti",10
"0722 Nøtterøy","Sosialistisk Valgforbund (1973)",693
"0722 Nøtterøy","Fellesliste Venstre",148
"0722 Nøtterøy","Fellesliste Senterpartiet",348
"0723 Tjøme","Arbeiderpartiet",565
"0723 Tjøme","Høyre",615
"0723 Tjøme","Kristelig Folkeparti",153
"0723 Tjøme","Rød valgallianse",7
"0723 Tjøme","Det nye Folkepartiet (1973-1977)",44
"0723 Tjøme","Anders Langes parti (1973)",190
"0723 Tjøme","Ensliges parti",9
"0723 Tjøme","Norges demokratiske parti",3
"0723 Tjøme","Sosialistisk Valgforbund (1973)",120
"0723 Tjøme","Fellesliste Venstre",23
"0723 Tjøme","Fellesliste Senterpartiet",79
"0725 Tjølling (-1987)","Arbeiderpartiet",1344
"0725 Tjølling (-1987)","Høyre",652
"0725 Tjølling (-1987)","Kristelig Folkeparti",441
"0725 Tjølling (-1987)","Rød valgallianse",12
"0725 Tjølling (-1987)","Det nye Folkepartiet (1973-1977)",142
"0725 Tjølling (-1987)","Anders Langes parti (1973)",148
"0725 Tjølling (-1987)","Ensliges parti",5
"0725 Tjølling (-1987)","Norges demokratiske parti",6
"0725 Tjølling (-1987)","Sosialistisk Valgforbund (1973)",392
"0725 Tjølling (-1987)","Fellesliste Venstre",198
"0725 Tjølling (-1987)","Fellesliste Senterpartiet",452
"0726 Brunlanes (-1987)","Arbeiderpartiet",1226
"0726 Brunlanes (-1987)","Høyre",636
"0726 Brunlanes (-1987)","Kristelig Folkeparti",666
"0726 Brunlanes (-1987)","Rød valgallianse",12
"0726 Brunlanes (-1987)","Det nye Folkepartiet (1973-1977)",117
"0726 Brunlanes (-1987)","Anders Langes parti (1973)",140
"0726 Brunlanes (-1987)","Ensliges parti",12
"0726 Brunlanes (-1987)","Norges demokratiske parti",9
"0726 Brunlanes (-1987)","Sosialistisk Valgforbund (1973)",279
"0726 Brunlanes (-1987)","Fellesliste Venstre",345
"0726 Brunlanes (-1987)","Fellesliste Senterpartiet",321
"0727 Hedrum (-1987)","Arbeiderpartiet",1385
"0727 Hedrum (-1987)","Høyre",824
"0727 Hedrum (-1987)","Kristelig Folkeparti",818
"0727 Hedrum (-1987)","Rød valgallianse",9
"0727 Hedrum (-1987)","Det nye Folkepartiet (1973-1977)",179
"0727 Hedrum (-1987)","Anders Langes parti (1973)",273
"0727 Hedrum (-1987)","Ensliges parti",12
"0727 Hedrum (-1987)","Norges demokratiske parti",6
"0727 Hedrum (-1987)","Sosialistisk Valgforbund (1973)",409
"0727 Hedrum (-1987)","Fellesliste Venstre",222
"0727 Hedrum (-1987)","Fellesliste Senterpartiet",670
"0728 Lardal","Arbeiderpartiet",615
"0728 Lardal","Høyre",137
"0728 Lardal","Kristelig Folkeparti",121
"0728 Lardal","Rød valgallianse",4
"0728 Lardal","Det nye Folkepartiet (1973-1977)",30
"0728 Lardal","Anders Langes parti (1973)",41
"0728 Lardal","Ensliges parti",1
"0728 Lardal","Norges demokratiske parti",1
"0728 Lardal","Sosialistisk Valgforbund (1973)",57
"0728 Lardal","Fellesliste Venstre",36
"0728 Lardal","Fellesliste Senterpartiet",320
"0805 Porsgrunn","Arbeiderpartiet",5911
"0805 Porsgrunn","Høyre",2422
"0805 Porsgrunn","Kristelig Folkeparti",2132
"0805 Porsgrunn","Rød valgallianse",64
"0805 Porsgrunn","Det nye Folkepartiet (1973-1977)",707
"0805 Porsgrunn","Anders Langes parti (1973)",677
"0805 Porsgrunn","Ensliges parti",33
"0805 Porsgrunn","Kvinnenes frie folkevalgte",13
"0805 Porsgrunn","Norges demokratiske parti",18
"0805 Porsgrunn","Sosialistisk Valgforbund (1973)",3671
"0805 Porsgrunn","Fellesliste Venstre",998
"0805 Porsgrunn","Fellesliste Senterpartiet",641
"0806 Skien","Arbeiderpartiet",8607
"0806 Skien","Høyre",3555
"0806 Skien","Kristelig Folkeparti",3373
"0806 Skien","Rød valgallianse",105
"0806 Skien","Det nye Folkepartiet (1973-1977)",585
"0806 Skien","Anders Langes parti (1973)",998
"0806 Skien","Ensliges parti",39
"0806 Skien","Kvinnenes frie folkevalgte",14
"0806 Skien","Norges demokratiske parti",25
"0806 Skien","Sosialistisk Valgforbund (1973)",5033
"0806 Skien","Fellesliste Venstre",1112
"0806 Skien","Fellesliste Senterpartiet",1222
"0807 Notodden","Arbeiderpartiet",3514
"0807 Notodden","Høyre",813
"0807 Notodden","Kristelig Folkeparti",1010
"0807 Notodden","Rød valgallianse",47
"0807 Notodden","Det nye Folkepartiet (1973-1977)",110
"0807 Notodden","Anders Langes parti (1973)",225
"0807 Notodden","Ensliges parti",12
"0807 Notodden","Kvinnenes frie folkevalgte",3
"0807 Notodden","Norges demokratiske parti",4
"0807 Notodden","Sosialistisk Valgforbund (1973)",1281
"0807 Notodden","Fellesliste Venstre",212
"0807 Notodden","Fellesliste Senterpartiet",535
"0811 Siljan","Arbeiderpartiet",393
"0811 Siljan","Høyre",56
"0811 Siljan","Kristelig Folkeparti",165
"0811 Siljan","Rød valgallianse",1
"0811 Siljan","Det nye Folkepartiet (1973-1977)",13
"0811 Siljan","Anders Langes parti (1973)",33
"0811 Siljan","Kvinnenes frie folkevalgte",5
"0811 Siljan","Sosialistisk Valgforbund (1973)",54
"0811 Siljan","Fellesliste Venstre",56
"0811 Siljan","Fellesliste Senterpartiet",134
"0814 Bamble","Arbeiderpartiet",1851
"0814 Bamble","Høyre",543
"0814 Bamble","Kristelig Folkeparti",690
"0814 Bamble","Rød valgallianse",13
"0814 Bamble","Det nye Folkepartiet (1973-1977)",188
"0814 Bamble","Anders Langes parti (1973)",175
"0814 Bamble","Ensliges parti",4
"0814 Bamble","Kvinnenes frie folkevalgte",6
"0814 Bamble","Norges demokratiske parti",7
"0814 Bamble","Sosialistisk Valgforbund (1973)",841
"0814 Bamble","Fellesliste Venstre",230
"0814 Bamble","Fellesliste Senterpartiet",441
"0815 Kragerø","Arbeiderpartiet",1949
"0815 Kragerø","Høyre",743
"0815 Kragerø","Kristelig Folkeparti",1064
"0815 Kragerø","Rød valgallianse",6
"0815 Kragerø","Det nye Folkepartiet (1973-1977)",143
"0815 Kragerø","Anders Langes parti (1973)",160
"0815 Kragerø","Ensliges parti",8
"0815 Kragerø","Kvinnenes frie folkevalgte",9
"0815 Kragerø","Norges demokratiske parti",1
"0815 Kragerø","Sosialistisk Valgforbund (1973)",920
"0815 Kragerø","Fellesliste Venstre",358
"0815 Kragerø","Fellesliste Senterpartiet",364
"0817 Drangedal","Arbeiderpartiet",899
"0817 Drangedal","Høyre",128
"0817 Drangedal","Kristelig Folkeparti",545
"0817 Drangedal","Rød valgallianse",8
"0817 Drangedal","Det nye Folkepartiet (1973-1977)",72
"0817 Drangedal","Anders Langes parti (1973)",48
"0817 Drangedal","Ensliges parti",3
"0817 Drangedal","Kvinnenes frie folkevalgte",13
"0817 Drangedal","Norges demokratiske parti",5
"0817 Drangedal","Sosialistisk Valgforbund (1973)",287
"0817 Drangedal","Fellesliste Venstre",155
"0817 Drangedal","Fellesliste Senterpartiet",332
"0819 Nome","Arbeiderpartiet",1526
"0819 Nome","Høyre",307
"0819 Nome","Kristelig Folkeparti",723
"0819 Nome","Rød valgallianse",5
"0819 Nome","Det nye Folkepartiet (1973-1977)",52
"0819 Nome","Anders Langes parti (1973)",97
"0819 Nome","Ensliges parti",2
"0819 Nome","Kvinnenes frie folkevalgte",2
"0819 Nome","Norges demokratiske parti",1
"0819 Nome","Sosialistisk Valgforbund (1973)",603
"0819 Nome","Fellesliste Venstre",133
"0819 Nome","Fellesliste Senterpartiet",588
"0821 Bø (Telem.)","Arbeiderpartiet",744
"0821 Bø (Telem.)","Høyre",177
"0821 Bø (Telem.)","Kristelig Folkeparti",333
"0821 Bø (Telem.)","Rød valgallianse",5
"0821 Bø (Telem.)","Det nye Folkepartiet (1973-1977)",30
"0821 Bø (Telem.)","Anders Langes parti (1973)",75
"0821 Bø (Telem.)","Ensliges parti",1
"0821 Bø (Telem.)","Kvinnenes frie folkevalgte",3
"0821 Bø (Telem.)","Norges demokratiske parti",2
"0821 Bø (Telem.)","Sosialistisk Valgforbund (1973)",245
"0821 Bø (Telem.)","Fellesliste Venstre",325
"0821 Bø (Telem.)","Fellesliste Senterpartiet",350
"0822 Sauherad","Arbeiderpartiet",818
"0822 Sauherad","Høyre",152
"0822 Sauherad","Kristelig Folkeparti",315
"0822 Sauherad","Rød valgallianse",4
"0822 Sauherad","Det nye Folkepartiet (1973-1977)",20
"0822 Sauherad","Anders Langes parti (1973)",58
"0822 Sauherad","Ensliges parti",5
"0822 Sauherad","Kvinnenes frie folkevalgte",3
"0822 Sauherad","Norges demokratiske parti",2
"0822 Sauherad","Sosialistisk Valgforbund (1973)",305
"0822 Sauherad","Fellesliste Venstre",192
"0822 Sauherad","Fellesliste Senterpartiet",375
"0826 Tinn","Arbeiderpartiet",2475
"0826 Tinn","Høyre",537
"0826 Tinn","Kristelig Folkeparti",350
"0826 Tinn","Rød valgallianse",8
"0826 Tinn","Det nye Folkepartiet (1973-1977)",66
"0826 Tinn","Anders Langes parti (1973)",99
"0826 Tinn","Ensliges parti",4
"0826 Tinn","Kvinnenes frie folkevalgte",3
"0826 Tinn","Norges demokratiske parti",1
"0826 Tinn","Sosialistisk Valgforbund (1973)",680
"0826 Tinn","Fellesliste Venstre",203
"0826 Tinn","Fellesliste Senterpartiet",580
"0827 Hjartdal","Arbeiderpartiet",315
"0827 Hjartdal","Høyre",45
"0827 Hjartdal","Kristelig Folkeparti",228
"0827 Hjartdal","Rød valgallianse",2
"0827 Hjartdal","Det nye Folkepartiet (1973-1977)",11
"0827 Hjartdal","Anders Langes parti (1973)",37
"0827 Hjartdal","Ensliges parti",1
"0827 Hjartdal","Kvinnenes frie folkevalgte",2
"0827 Hjartdal","Norges demokratiske parti",1
"0827 Hjartdal","Sosialistisk Valgforbund (1973)",52
"0827 Hjartdal","Fellesliste Venstre",15
"0827 Hjartdal","Fellesliste Senterpartiet",237
"0828 Seljord","Arbeiderpartiet",549
"0828 Seljord","Høyre",105
"0828 Seljord","Kristelig Folkeparti",390
"0828 Seljord","Rød valgallianse",4
"0828 Seljord","Det nye Folkepartiet (1973-1977)",24
"0828 Seljord","Anders Langes parti (1973)",51
"0828 Seljord","Ensliges parti",4
"0828 Seljord","Kvinnenes frie folkevalgte",1
"0828 Seljord","Sosialistisk Valgforbund (1973)",116
"0828 Seljord","Fellesliste Venstre",114
"0828 Seljord","Fellesliste Senterpartiet",325
"0829 Kviteseid","Arbeiderpartiet",640
"0829 Kviteseid","Høyre",106
"0829 Kviteseid","Kristelig Folkeparti",357
"0829 Kviteseid","Rød valgallianse",2
"0829 Kviteseid","Det nye Folkepartiet (1973-1977)",18
"0829 Kviteseid","Anders Langes parti (1973)",37
"0829 Kviteseid","Ensliges parti",2
"0829 Kviteseid","Kvinnenes frie folkevalgte",1
"0829 Kviteseid","Norges demokratiske parti",1
"0829 Kviteseid","Sosialistisk Valgforbund (1973)",116
"0829 Kviteseid","Fellesliste Venstre",91
"0829 Kviteseid","Fellesliste Senterpartiet",287
"0830 Nissedal","Arbeiderpartiet",332
"0830 Nissedal","Høyre",41
"0830 Nissedal","Kristelig Folkeparti",220
"0830 Nissedal","Det nye Folkepartiet (1973-1977)",32
"0830 Nissedal","Anders Langes parti (1973)",29
"0830 Nissedal","Kvinnenes frie folkevalgte",2
"0830 Nissedal","Norges demokratiske parti",1
"0830 Nissedal","Sosialistisk Valgforbund (1973)",41
"0830 Nissedal","Fellesliste Venstre",52
"0830 Nissedal","Fellesliste Senterpartiet",121
"0831 Fyresdal","Arbeiderpartiet",493
"0831 Fyresdal","Høyre",55
"0831 Fyresdal","Kristelig Folkeparti",109
"0831 Fyresdal","Det nye Folkepartiet (1973-1977)",25
"0831 Fyresdal","Anders Langes parti (1973)",21
"0831 Fyresdal","Ensliges parti",1
"0831 Fyresdal","Sosialistisk Valgforbund (1973)",44
"0831 Fyresdal","Fellesliste Venstre",30
"0831 Fyresdal","Fellesliste Senterpartiet",122
"0833 Tokke","Arbeiderpartiet",741
"0833 Tokke","Høyre",78
"0833 Tokke","Kristelig Folkeparti",266
"0833 Tokke","Det nye Folkepartiet (1973-1977)",18
"0833 Tokke","Anders Langes parti (1973)",20
"0833 Tokke","Ensliges parti",2
"0833 Tokke","Kvinnenes frie folkevalgte",1
"0833 Tokke","Sosialistisk Valgforbund (1973)",140
"0833 Tokke","Fellesliste Venstre",65
"0833 Tokke","Fellesliste Senterpartiet",326
"0834 Vinje","Arbeiderpartiet",779
"0834 Vinje","Høyre",102
"0834 Vinje","Kristelig Folkeparti",307
"0834 Vinje","Rød valgallianse",10
"0834 Vinje","Det nye Folkepartiet (1973-1977)",25
"0834 Vinje","Anders Langes parti (1973)",69
"0834 Vinje","Ensliges parti",1
"0834 Vinje","Kvinnenes frie folkevalgte",3
"0834 Vinje","Sosialistisk Valgforbund (1973)",286
"0834 Vinje","Fellesliste Venstre",44
"0834 Vinje","Fellesliste Senterpartiet",548
"0901 Risør","Arbeiderpartiet",1173
"0901 Risør","Høyre",547
"0901 Risør","Kristelig Folkeparti",679
"0901 Risør","Rød valgallianse",9
"0901 Risør","Det nye Folkepartiet (1973-1977)",286
"0901 Risør","Anders Langes parti (1973)",193
"0901 Risør","Ensliges parti",9
"0901 Risør","Kvinnenes frie folkevalgte",5
"0901 Risør","Norges demokratiske parti",4
"0901 Risør","Sosialistisk Valgforbund (1973)",227
"0901 Risør","Fellesliste Venstre",209
"0901 Risør","Fellesliste Senterpartiet",220
"0903 Arendal (-1991)","Arbeiderpartiet",2071
"0903 Arendal (-1991)","Høyre",1513
"0903 Arendal (-1991)","Kristelig Folkeparti",987
"0903 Arendal (-1991)","Rød valgallianse",10
"0903 Arendal (-1991)","Det nye Folkepartiet (1973-1977)",590
"0903 Arendal (-1991)","Anders Langes parti (1973)",237
"0903 Arendal (-1991)","Ensliges parti",4
"0903 Arendal (-1991)","Kvinnenes frie folkevalgte",2
"0903 Arendal (-1991)","Norges demokratiske parti",6
"0903 Arendal (-1991)","Sosialistisk Valgforbund (1973)",327
"0903 Arendal (-1991)","Fellesliste Venstre",188
"0903 Arendal (-1991)","Fellesliste Senterpartiet",158
"0904 Grimstad","Arbeiderpartiet",1564
"0904 Grimstad","Høyre",1137
"0904 Grimstad","Kristelig Folkeparti",1484
"0904 Grimstad","Rød valgallianse",6
"0904 Grimstad","Det nye Folkepartiet (1973-1977)",337
"0904 Grimstad","Anders Langes parti (1973)",404
"0904 Grimstad","Ensliges parti",3
"0904 Grimstad","Kvinnenes frie folkevalgte",13
"0904 Grimstad","Norges demokratiske parti",8
"0904 Grimstad","Sosialistisk Valgforbund (1973)",258
"0904 Grimstad","Fellesliste Venstre",235
"0904 Grimstad","Fellesliste Senterpartiet",721
"0911 Gjerstad","Arbeiderpartiet",533
"0911 Gjerstad","Høyre",91
"0911 Gjerstad","Kristelig Folkeparti",280
"0911 Gjerstad","Rød valgallianse",1
"0911 Gjerstad","Det nye Folkepartiet (1973-1977)",85
"0911 Gjerstad","Anders Langes parti (1973)",35
"0911 Gjerstad","Ensliges parti",1
"0911 Gjerstad","Kvinnenes frie folkevalgte",3
"0911 Gjerstad","Norges demokratiske parti",1
"0911 Gjerstad","Sosialistisk Valgforbund (1973)",61
"0911 Gjerstad","Fellesliste Venstre",70
"0911 Gjerstad","Fellesliste Senterpartiet",158
"0912 Vegårshei","Arbeiderpartiet",419
"0912 Vegårshei","Høyre",52
"0912 Vegårshei","Kristelig Folkeparti",219
"0912 Vegårshei","Rød valgallianse",1
"0912 Vegårshei","Det nye Folkepartiet (1973-1977)",117
"0912 Vegårshei","Anders Langes parti (1973)",8
"0912 Vegårshei","Ensliges parti",2
"0912 Vegårshei","Kvinnenes frie folkevalgte",1
"0912 Vegårshei","Norges demokratiske parti",1
"0912 Vegårshei","Sosialistisk Valgforbund (1973)",28
"0912 Vegårshei","Fellesliste Venstre",22
